t,line
4101.4683,MEAS ms=115239 seq=3608 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.6032,MEAS ms=115284 seq=3609 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.6032,MEAS ms=115329 seq=3610 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.6032,MEAS ms=115374 seq=3611 src=1 c9=1179 c10=1499 c11=1012 c12=1500 step=5
4101.6494,MEAS ms=115419 seq=3612 src=1 c9=1179 c10=1500 c11=1010 c12=1500 step=5
4101.6495,MEAS ms=115439 seq=3613 src=1 c9=1179 c10=1500 c11=1012 c12=1499 step=5
4101.6495,MEAS ms=115447 seq=3614 src=1 c9=1179 c10=1500 c11=1012 c12=1499 step=5
4101.6495,MEAS ms=115456 seq=3615 src=1 c9=1179 c10=1500 c11=1012 c12=1499 step=5
4101.6755,MEAS ms=115465 seq=3616 src=1 c9=1179 c10=1500 c11=1012 c12=1499 step=5
4101.6755,MEAS ms=115474 seq=3617 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.6755,MEAS ms=115482 seq=3618 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.7483,MEAS ms=115491 seq=3619 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.7483,MEAS ms=115500 seq=3620 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.7483,MEAS ms=115509 seq=3621 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.7484,MEAS ms=115519 seq=3622 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.8834,MEAS ms=115564 seq=3623 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.8835,MEAS ms=115609 seq=3624 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4101.8835,MEAS ms=115654 seq=3625 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.0635,MEAS ms=115699 seq=3626 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.0635,MEAS ms=115744 seq=3627 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.0635,MEAS ms=115789 seq=3628 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.0635,MEAS ms=115834 seq=3629 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.1734,MEAS ms=115879 seq=3630 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.1734,MEAS ms=115924 seq=3631 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.1734,MEAS ms=115969 seq=3632 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2086,MEAS ms=115989 seq=3633 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2087,MEAS ms=115997 seq=3634 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2087,MEAS ms=116006 seq=3635 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2087,MEAS ms=116015 seq=3636 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2348,MEAS ms=116024 seq=3637 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2348,MEAS ms=116032 seq=3638 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.2349,MEAS ms=116041 seq=3639 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.3433,MEAS ms=116050 seq=3640 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.3434,MEAS ms=116059 seq=3641 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.3434,MEAS ms=116069 seq=3642 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.3434,MEAS ms=116114 seq=3643 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.4782,MEAS ms=116159 seq=3644 src=1 c9=1179 c10=1500 c11=1012 c12=1500 step=5
4102.4783,MEAS ms=116204 seq=3645 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.4783,MEAS ms=116249 seq=3646 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.6582,MEAS ms=116294 seq=3647 src=1 c9=1209 c10=1500 c11=1012 c12=1500 step=6
4102.6583,MEAS ms=116339 seq=3648 src=1 c9=1210 c10=1499 c11=1012 c12=1500 step=6
4102.6583,MEAS ms=116384 seq=3649 src=1 c9=1210 c10=1500 c11=1012 c12=1499 step=6
4102.6583,MEAS ms=116429 seq=3650 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
4102.7313,MEAS ms=116474 seq=3651 src=1 c9=1210 c10=1500 c11=1012 c12=1500 step=6
